depth (m),gas age (a B1950),CH4 (ppbv)
772.55,39736.4,422
772.77,39750.5,414
773.78,39815.3,442
774.26,39885.5,448
774.34,39898.3,440
775.19,40034.5,450
776.04,40091.6,429
776.58,40099,420
778.65,40385.7,413
778.78,40409.8,419
780.38,40550.2,426
780.85,40591.8,447
781,40605.1,422
781.9,40685.1,433
783.05,40731.8,420
783.18,40735.8,434
783.65,40750.1,433
784.28,40791.5,442
784.88,40834.8,457
785.24,40860.9,465
785.33,40867.4,462
786.3,40982.4,465
786.52,41009.3,465
787.51,41130.5,467
789.78,41396.5,458
792,41694.3,414
793.72,41895,429
794.83,42016.9,416
796.38,42110.9,415
798.51,42273.8,456
800.78,42541.3,446
802.93,42766.8,471
803.54,42824.8,470
805.18,42931.7,486
806.16,43033.7,482
808.52,43377.4,463
809.58,43432.8,437
811.37,43636.7,415
814.02,43868.6,411
817.28,44213.3,431
819.58,44317,427
822.16,44496.1,469
825.57,44652.8,462
828.28,44834.4,490
830.52,45081.8,467
833.78,45393.6,487
835.99,45565.3,499
840.32,46031.2,497
842.04,46202.3,514
844.67,46270.1,499
847.02,46552.8,493
850.11,46861.6,440
852.59,47053.7,432
852.98,47086.3,441
855.78,47318.4,425
858.05,47574.6,437
861.08,47955.2,453
863.52,48402.3,414
869.02,48971.7,435
871.82,49301.5,461
875.04,49704.5,464
877.77,49980.7,434
880.53,50144.3,452
882.7,50374.5,492
886.04,50610.1,470
888.78,50872.2,489
891.02,51138.9,493
894.28,51486.7,510
896.55,51753.4,515
899.78,52067.8,544
902.02,52276.8,517
905.28,52562.1,531
908.03,52738.8,527
910.7,53069.4,567
913.02,53248.5,543
916.28,53494.5,529
918.52,53738.3,530
921.27,53863.6,535
924.02,54044.5,513
927.28,54467.6,438
929.52,54574.6,438
932.27,54828.3,437
935.53,55076.9,462
940.52,55619.9,476
943.75,55822,514
946.02,56082.3,461
949.28,56461.1,466
951.43,56764.9,534
951.54,56779.9,483
957.02,57289.9,546
960.28,57597.7,550
962.52,57811.9,543
963.03,57843.1,554
968.02,58192,542
971.28,58580.7,515
973.52,58746,520
976.78,59079.5,561
979.02,59211.3,554
981.77,59355.4,502
984.52,59573.2,523
987.78,59879.8,454
990.02,60101,442
993.28,60458.5,435
995.52,60676.3,425
998.78,61034.9,443
1001.02,61288.1,426
1004.28,61654.2,430
1006.52,61821.7,425
1009.27,62097.6,412
1009.78,62174.1,437
1012.02,62342.5,432
1018.03,62981.9,431
1020.78,63338.9,439
1023.02,63572.8,430
1026.28,63911.2,444
1028.52,64191.6,444
1031.78,64593.2,468
1034.02,64789.1,484
1037.28,64916.1,489
1039.51,65169.8,434
1042.78,65806.3,440
1045.53,66161.5,462
1048.28,66545.9,461
1050.52,66887.3,457
1053.78,67401.2,476
1056.51,67826.3,444
1059.28,68211.2,461
1061.52,68429.1,449
1064.78,68815.3,459
1067.02,69127.1,453
1070.28,69509.4,471
1073.03,69725.3,480
1075.78,70011.3,451
1078.02,70321.3,456
1081.28,70511.3,474
1083.52,70852,460
1086.78,71144.2,462
1089.02,71298.7,450
1092.27,71542.7,490
1094.52,71701.5,473
1097.78,71906.2,470
1100.02,72021.8,475
1102.77,72231.4,482
1105.55,72572,449
1108.27,72782.1,431
1111.02,73027.8,432
1113.77,73305.7,432
1116.52,73674.6,457
