,age,irish_temperature,irish_rainfall,global_ch4,global_temp_x,global_temp_y,global_co2_x,sigma mean_x,global_co2_y,sigma mean_y
194,-45.9260273970001,,,1683.818007417,,,,,,
195,-45.89589040999999,,,1683.298241444,,,,,,
196,-45.81369863000009,,,1682.464507227,,,,,,
197,-45.668493149999904,,,1681.651204235,,,,,,
198,-45.64383561599993,,,1679.773209112,,,,,,
199,-45.58630136900001,,,1678.5916946,,,,,,
200,-45.56164383500004,,,1677.73281939,,,,,,
201,-45.54520547900006,,,1678.752021118,,,,,,
202,-45.44931506800003,,,1681.176813471,,,,,,
203,-45.2794520540001,,,1681.609664562,,,,,,
204,-45.26800000000003,,,1676.3289448022244,,,,,,
205,-45.10684931500009,,,1678.945078115,,,,,,
206,-45.10684931500009,,,1679.673288667,,,,,,
207,-44.93424657500009,,,1677.285513215,,,,,,
208,-44.93424657500009,,,1677.712618469,,,,,,
209,-44.43835616399997,,,1675.567596474,,,,,,
210,-44.320547945000044,,,1669.196866542,,,,,,
211,-44.320547945000044,,,1670.328171185,,,,,,
212,-44.20273972599989,,,1669.513858196,,,,,,
213,-44.11506849300008,,,1668.479077793,,,,,,
214,-43.961643834999904,,,1669.227191198,,,,,,
215,-43.83561643799999,,,1670.62266922,,,,,,
216,-43.61095890399997,,,1672.107406874,,,,,,
217,-43.60400000000004,,,1662.7859549528457,,,,,,
218,-43.43287671200005,,,1669.372249103,,,,,,
219,-43.15068493099989,,,1665.983066325,,,,,,
220,-42.73224043699997,,,1667.495808124,,,,,,
221,-42.7295081960001,,,1668.32649443,,,,,,
222,-42.27049180299991,,,1666.882740918,,,,,,
223,-42.21311475399989,,,1665.280358136,,,,,,
224,-42.117486337999935,,,1665.102231841,,,,,,
225,-42.04371584599994,,,1665.660731196,,,,,,
226,-41.660273971999914,,,1658.839504748,,,,,,
227,-41.506000000000085,,,1643.528365501584,,,,,,
228,-41.46575342400001,,,1658.451020506,,,,,,
229,-41.46575342400001,,,1655.225570027,,,,,,
230,-40.96438356099998,,,1645.33857309,,,,,,
231,-40.873972602000094,,,1645.101797731,,,,,,
232,-40.873972602000094,,,1643.953989731,,,,,,
233,-40.873972602000094,,,1645.298588785,,,,,,
